Target_E   Reached_E  Difference   Sweeps  TotalTime  Electrons  Dimension    J     K     B 
-1.6000    -1.4663   -0.1337       00100   005        1          0000000004   0.70  0.40  0.10
-1.8000    -1.4183   -0.3817       00100   005        1          0000000004   0.80  0.40  0.10
-2.0000    -0.6505   -1.3495       00100   005        1          0000000004   0.90  0.40  0.10
-2.2000    -1.5830   -0.6170       00100   005        1          0000000004   1.00  0.40  0.10
-0.2000    -0.2000    0.0000       00100   005        1          0000000004   0.00  0.50  0.10
-0.4000    -0.3954   -0.0046       00100   005        1          0000000004   0.10  0.50  0.10
-0.6000    -0.3223   -0.2777       00100   005        1          0000000004   0.20  0.50  0.10
-0.8000    -0.7143   -0.0857       00100   005        1          0000000004   0.30  0.50  0.10
-1.0000    -0.9417   -0.0583       00100   005        1          0000000004   0.40  0.50  0.10
-1.2000    -1.1914   -0.0086       00100   005        1          0000000004   0.50  0.50  0.10
-1.4000    -1.1094   -0.2906       00100   005        1          0000000004   0.60  0.50  0.10
-1.6000    -1.1716   -0.4284       00100   005        1          0000000004   0.70  0.50  0.10
-1.8000    -1.7855   -0.0145       00100   005        1          0000000004   0.80  0.50  0.10
-2.0000    -1.9325   -0.0675       00100   005        1          0000000004   0.90  0.50  0.10
-2.2000    -2.1760   -0.0240       00100   005        1          0000000004   1.00  0.50  0.10
-0.2000    -0.2000    0.0000       00100   005        1          0000000004   0.00  0.60  0.10
-0.4000    -0.3444   -0.0556       00100   005        1          0000000004   0.10  0.60  0.10
-0.6000    -0.5713   -0.0287       00100   005        1          0000000004   0.20  0.60  0.10
-0.8000    -0.6705   -0.1295       00100   005        1          0000000004   0.30  0.60  0.10
-1.0000    -0.9626   -0.0374       00100   005        1          0000000004   0.40  0.60  0.10
-1.2000    -0.9724   -0.2276       00100   005        1          0000000004   0.50  0.60  0.10
-1.4000    -1.2590   -0.1410       00100   005        1          0000000004   0.60  0.60  0.10
-1.6000    -1.2043   -0.3957       00100   005        1          0000000004   0.70  0.60  0.10
-1.8000    -1.5117   -0.2883       00100   005        1          0000000004   0.80  0.60  0.10
